index,itemid,shopid,name,brand,category,real_price,discount(%),curr_price,sold,rating,stock
0,4507023779,198851266,Brica B-Steady 3 Axis Smartphone Gimbal Stabilizer - Gratis Hard Case + Tripod Mini,Brica,Handphone & Aksesoris,850000.0,4,820000.0,6,0.0,94
1,2849689599,127609211,Leeptech Universal Virtual 3D Reality Glasses VR Box Smartphone Black-white,Leeptech,Handphone & Aksesoris,99000.0,71,29000.0,112,4.413043,93
2,4306135150,7298199,OUKITEL C17 Pro Smartphone mtk6763 Octa Core 2.0Ghz Octa-core 2.0Ghz dengan 4GB RAM 64GB ROM,OUKITEL,Handphone & Aksesoris,2310780.0,15,1953960.0,37,4.703704,1464
3,1809831581,20953278,4GB+32GB Android 5.1 MTK6580 Octa Core Dual Sim Cards Dual Standby GSM/3G WCDMA Smartphone,Unknown,Handphone & Aksesoris,1013460.0,35,745446.0,229,4.0,3985
4,1174633819,66393554,"Homtom ht70 6.0 ""Smartphone mtk6750t Octa Core mtk6750t Octa Core 4G",Homtom,Handphone & Aksesoris,3078000.0,5,2924100.0,36,4.821429,1962
5,4101217122,178381554,"LOKMAT Smartwatch Bisa Telepon 2G dengan Kamera, Bluetooth untuk Pelajar",LOKMAT,Handphone & Aksesoris,645901.0,60,258360.0,0,0.0,4000
6,1174633799,66393554,"Ulefone Power 5 13000mah 4G Smartphone 6.0 ""FHD mtk6763",Ulefone,Handphone & Aksesoris,0.0,0,5073000.0,24,4.733333,975
7,689284704,24538285,VKWORLD Mix Plus Smartphone Android 7.0 3G+32G Quad Core Dual Sim Fullscreen 5.5 Inci,VKWORLD,Handphone & Aksesoris,0.0,0,2464908.0,17,4.538462,6
8,7017008644,94522196,Inone Official Smartphone Benco V7 2GB RAM 16GB ROM 6.1 inch Full HD Display Notch,Inone,Handphone & Aksesoris,1299000.0,32,1049000.0,47,4.947368,1048
9,7517948125,30843261,Vivo V19 - Arctic Blue [Ultra O Screen],Vivo,Handphone & Aksesoris,0.0,0,4299000.0,0,0.0,159
10,2222573657,136040387,"[Hanya di Shopee] Doogee Y8 3GB+32GB Indonesia 4G LTE Android 9.0 3400mah 6.1 ""FHD Smartphone",Doogee,Handphone & Aksesoris,1823999.0,25,1367999.0,1791,4.685844,95
11,4506619354,136040387,"Doogee x90 Smartphone Android 9.0 ROM 16GB 6.1 ""16GB 6.1",Doogee,Handphone & Aksesoris,1254000.0,42,728460.0,20,4.923076999999999,76
12,2217336467,118132150,"Doogee bl12000 Smartphone 12000mAH 6.0 ""mt6750t Octa Core mt6750t 4GB 32GB Android 7.0",Doogee,Handphone & Aksesoris,3670800.0,20,3420000.0,7,4.8,692
14,1956902301,118132150,"DOOGEE S55 IP68waterproof Smartphone 4GB+64GB 5500mAh MTK6750T Octa Core 5.5"" 13MP 4G mobile phone",Doogee,Handphone & Aksesoris,3648000.0,20,2918400.0,9,5.0,188
