itemid,shopid,name,brand,category,real_price,discount,curr_price,sold,rating,stock,description
4507023779,198851266,Brica B-Steady 3 Axis Smartphone Gimbal Stabilizer - Gratis Hard Case + Tripod Mini,Brica,Handphone & Aksesoris,850000.0,4%,820000.0,6,0,94,"Sudah Termasuk Bonus HardCase

Sangat cocok untuk anda yang suka membuat video cinematic dan vlog, karena dengan menggunakan Brica B-Steady hasil video yang anda dapatkan akan terlihat lebih stabil dan memaksimalkan hasil video yang anda rekam. Brica B-Steady sangat mudah digunakan dan ringan sehingga akan sangat cocok untuk anda.

Fitur B-Steady
• Baterai 4000mAH
• Kapasitas beban 250g
• Rotasi Panning 330°
• Rotasi Tilting 325°
• Rotasi Rolling 180°
• Face and object tracking
• Easy panorama shot
• Timelapse & Motion lapse
• Zoom & Focus Control
• Powerbank


Spesifikasi B-Steady

GENERAL
Model B-Steady
Dimension 289x108x70mm
Weight 460g (battery included)

WIRELESS
Model Bluetooth ver. 4.0

GIMBAL
Tilting 325°
Panning 330°
Rolling 180°
Max. Phone width up to 89mm
Max. Load 250g

BATTERY
Type Li-Ion
Capacity 4000mAh
Voltage 5V
Operating temp. 0°C ~ 40°C
Operating time up to 12hrs*

* Under ideal conditions with gimbal fully balanced

APP / LIVE VIEW

B-Steady

iOS Version
Requires iOS 10.0 or later. Compatible with iPhone SE, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XS Max, and iPhone XR.

Android Version
Requires Android 4.1.2 or later. Compatible with LG G6, LG V20, VIVO X20 Plus, OPPO R9m, OPPO R11s, Google Pixel XL, Google Pixel XL2, Nexus 6P, Samsung Galaxy S6, Samsung Galaxy S7, Samsung Galaxy S7 Edge, Samsung Galaxy S8, Samsung Galaxy S8+, Samsung Galaxy S9, Samsung Galaxy S9+, Samsung Galaxy Note 8, Samsung Galaxy Note 5, Mi 8, Mi 6, Mi 5S, Mi Note 3, OnePlus 5T, and Smartisan Nut Pro 2.
*Support for additional Android devices available as testing and development continues.

Package di dalam box include:
• Brica B-Steady Stabilizer gimbal
• Carrying case
• USB Cable

GARANSI UNIT RESMI BRICA INDONESIA 1 TAHUN !!!

Cek etalase kami untuk produk menarik lainnya :D"
2849689599,127609211,Leeptech Universal Virtual 3D Reality Glasses VR Box Smartphone Black-white,Tidak Ada Merek,Handphone & Aksesoris,99000.0,71%,29000.0,112,4.413043,93,"Leeptech Universal Virtual 3D Reality Glasses VR Box Smartphone



Hight Light:

- 42mm Lensa lebih besar,tampilan lebih baik

- Lensa bisa diatur jarak dan posisi

- Smartphone cukup di slide in saja

- Nyaman bagi pengguna berkacamata

- Enjoy VR game, 360 Video/3D film



VR Case adalah generasi terbaru kacamata 3D VR, memiliki lebih banyak fitur untuk menikmati 3D VR game dan video. VR Box merupakan pilihan terbaik untuk menikmati film 3D/ Video 360 dan memainkan game-game VR.



VR BOX telah diupgrade dengan fitur terbaru, diantaranya :



1. Menggunakan 42mm lensa yang lebih lebar dan besar, dengan jarak pandang dan posisi lensa yang dapat diatur agar sesuai dengan posisi mata menjadikan VR Box ini lebih nyaman digunakan.



2. Cara baru memasang smartphone cukup hanya di slide saja. Dengan penjepit smartphone yang kokoh didalamnya, tidak perlu khawatir Smartphone akan terjatuh.



3. Dapat digunakan smartphone sampai ukuran 6 inc dengan maksimal size 15.9x8.3x1 cm.



4. Didesign agar tetap nyaman jika pengguna menggunakan kacamata.



5. Posisi headband lebih baik, menjadikan tekanan pada daerah mata lebih ringan dan nyaman.







Note:

- Mainkan game virtual reality dan tonton video 360 derajat dengan smartphone yang memiliki fitur Gyroscope.

- Game virtual reality dapat di download melalui google playstore atau i-store dengan mencari ""VR"", ""Virtual Reality"", Atau install aplikasi Google Cardboard untuk berbagai macam fitur lainnya yang bisa digunakan bersama Kacamata VB BOX ini.

- Melihat video 3D di Youtube dengan cara search yt3d,3d sbs atau lihat film 3D dengan format SBS.



Spesifikasi :

- Support all smartphone ukuran sampai 6 inch"
4306135150,7298199,OUKITEL C17 Pro Smartphone mtk6763 Octa Core 2.0Ghz Octa-core 2.0Ghz dengan 4GB RAM 64GB ROM,,Handphone & Aksesoris,2310780.0,15%,1953960.0,37,4.703704,1464,"1.4G+4G Double Network Global LTE Bands
2.Face ID Unlock, Fingerprint
3.Original Android 9.0 Pie OS, multiple languages


ROM:64GB
RAM:4GB
CPU:Octa Core
Design:Bar
Item Condition:New
Operation System:Android
Cellular:Others
Network:
GSM/WCDMA/LTE
2G: GSM B2/B3/B5/B8
3G: WCDMA B1/B2/B4/B5/B8
4G:FDD B1/B2/B3/B4/B5/B7/B8/B12/B17/B18
/B19/B20/B25/B26/B28A TDD B40
Feature:GPS Navigation,Email,FM Radio,MP3 Playback,Touchscreen,Bluetooth,Wi-Fi,Memory Card Slots,Video Player,Gravity Response,Front Camera,TV Receive,Message,HD Video Player,GPRS,Fingerprint Recognition
CPU Manufacturer:MTK
Display Size:6.3
Display Color:Color
Language:English,Russian,German,French,Spanish,Polish,Portuguese,Italian,Turkish,Norwegian,Other
Recording Definition:720P
Thickness:Ultra Slim(<9mm)
Battery Capacity(mAh):3900mAh
SIM Card Quantity:Dual SIM Cards
Camera:13.0MP
Talk Time:4 hours
Display Resolution:1280x720
Size:158* 73.5*8.8
Band Mode:2SIM/Multi-Bands
Camera Type:3 Cameras
Release Date:2018
Battery Type:Detachable
Touch Screen Type:Capacitive Screen
Google Play:Yes
Front Camera:5MP
Package Included:
Phone X 1
Silicone Case X 1
Eject Pin X 1
User Manual X 1
USB Cable X 1
Charger X 1

#4GB 64GB Phone
#Face ID Unlock
#Fingerprint 
#Standard Smartphone
#Smartphone
#Oukitel C17 PRO"
1809831581,20953278,4GB+32GB Android 5.1 MTK6580 Octa Core Dual Sim Cards Dual Standby GSM/3G WCDMA Smartphone,Tidak Ada Merek,Handphone & Aksesoris,1013460.0,35%,745446.0,229,4.0,3985,"Product Details
Storage Capacity:
4GB Ram+4GB Rom
External Memory: Support up to 32GB
Battery capacity 2000mAh-2999mAh
EU Pulg


Product Key Features:
Screen Size: 5.72 inch / 5.0 inch
Operating System: Android 5.1
CPU: MTK6580
CPU Core Quantity: Octa Core
Network mode: GSM/WCDMA
Storage Capacity:
4GB Ram+32GB Rom
External Memory: Support up to 32GB
Screen Resolution: 540 x 960 pixels qHD Screen
Network: 2G, 3G ( Please make sure your sim card can support the network below in your country )
Network: Dual SIM Card Dual Standby (one standard SIM slot, one micro SIM slot)
SIM 1 (Standard SIM Slot): 2G (GSM 850/900/1800/1900MHZ) / 3G (WCDMA 850/2100MHZ)
SIM 2 (Micro SIM Slot): 2G (GSM 850/900/1800/1900MHz)

Camera information:
Camera type:Dual Camera
Camera Pixel:
Front Camera: 3.0 MP
Rear Camera: 5.0 MP
Software: Play Store, Gesture, SmartWake, Air, Distance, Calendar, Calculator, Alarm, Camera, Gallery

Additional Product Features:
Bluetooth: Yes Support Bluetooth 2.0
GPS: Yes Built in, Also support A-GPS, Support voice navigation (navigation program not included)
WiFi: Yes Support 802.11 b/g/n wireless, support hotspot
Sensor: Light sensor , Acceleration sensor , Direction sensor
Message: MMS, SMS, Email, Gmail
Audio Out Port: 3.5 mm
USB Port: Micro-USB 2.0
Video Recorder, Audio Player, Sound Recorder, FM Radio, Email, Gmail, Flashlight, etc

Available language: Bahasa Indonesia, Bahasa Melayu, Catala, Cestina, Dansk, Deutsch, Eesti, English, Spanish, Filipino, French, Hrvastki, Italian, Latviesu, Lietuviu, Magyar, Nederlands, Norsk bokmal, Polski, Portuguese, Romana, Slovencina, Slovenscina, Suomi, Svenska, Viet, Turkish, Greek, Bulgarian, Russian, Cpnckn, Ykpaihcbka, Persian, Thai, Korean, Chinese, Japanese

Package List:
1 x Smartphone
1 x USB Cable
1 x Charger (Right plug of adapter would be sent according to your shipping country)
1 x 3.5 mm Earphone
1 x Earphone
1 x User Manual                                #phonesandroid #Smartphones #Mobile #Phones #Photography #telephone #cellularismartphone #Android #celulare #androidphone"
1174633819,66393554,"Homtom ht70 6.0 ""Smartphone mtk6750t Octa Core mtk6750t Octa Core 4G",0,Handphone & Aksesoris,3078000.0,5%,2924100.0,36,4.821429,1962,"OS: Android 7.0   CPU: MT6750T Octa core
     
SIM Card: Dual SIM   Display: 6.0 inch
     
RAM: 4GB   Front camera: 8.0MP
     
ROM: 64GB   Rear camera: 13.0MP
     
Battery: 10000mAh   Feature: OTA, OTG, GPS
     
Accessroies: 1*Power Adapter 
1*USB Cable 
1*User Manual 
1*HD Protective Film 
1*OTG Cable
1*SIM Card Eject Pin
1*Phone Holder
  
Network: 2G:GSM B5(850)/B8(900)

/B3(1800)/B2(1900)

3G:WCDMA B1(2100)/B8(900)
/B5(850)/B2(1900)
4G:FDD-LTE B1(2100)/B3(1800)
/B7(2600)/B8(900)/B20(800)/B40(2300)"
4101217122,178381554,"LOKMAT Smartwatch Bisa Telepon 2G dengan Kamera, Bluetooth untuk Pelajar",,Handphone & Aksesoris,645901.0,60%,258360.0,0,0,4000,"LOKMAT product description:
* Display: 1.54 Inch IPS Square Screen
* Resolution: 240 * 240
* Hardware platform: MTK6261D
*Touch screen: 2.5D fox surface capacitive full-fit touch screen
*Bluetooth: Ver 3.0
*Battery capacity: built-in 650MAH high capacity polymer
*Sensor: G-SENSOR
* Charger: strong magnetic charging interface
* Display function: time display, battery icon display, date display, day of the week display, standard action function (step, distance, calories), heart rate, sleep time display (deep sleep, mild sleep)
* Multiple sport modes: support running, cycling, hiking and other sports modes.
*Other features: time format setting, reject incoming calls
* System requirements: Android 4.4 and above, IOS 8.0 or above, support for Bluetooth 3.0
* IP67 waterproof and dustproof (can be worn in the rain, wash hands and bath, but not in hot water, not suitable for swimming)
* Smart call and message reminder: When you have a call or message, it will vibrate to remind you (support Twitter, Facebook, QQ, WeChat, etc.)
*More features: Calculator, independent card, HD call, recording, photo album, camera, sedentary reminder,sleep mode,motion monitor (steps, distance, calories), pedometer, message synchronization, incoming calls, alarm clock,remote camera
Bracelet language: English, Filipino, Malay, Indonesian, Vietnamese, Thai, Indonesian, Burmese

1. 1.54 inch IPS screen
1.54 inch IPS round screen resolution 240 * 240 screen

2. Bluetooth Call.
When you connect Bluetooth,you can receive call in the watch.

3. many sports modes
Monitor comprehensive athletic data (steps, calories and kilometers).

4.IP67 life waterproof
Support hand washing (does not support hot water), etc.

5.Bluetooth 4.0 is compatible with Android and iPhone
Scan the QR code to download the app and use its full functionality.

6. Information reminder
When you have a call or message, it will vibrate to remind you (support Twitter, Facebook,Whatsapp , etc.)

7. Sleep monitoring mode
Open automatically every night from 9:00 to 9:00 the next morning

8. Fashion design
Color: black,white,blue,pink
Size: 47.5*40*14mm
Watch net weight: 50 grams
Package weight: 220 grams

9. Product list
Bracelet* 1
Charger* 1
Instruction manual* 1
Box * 1

#smart watch
#smart wristband
#Smart wear
#water-proof watch
#Consumer Electronics
#smart watch
#Smart wear
#Smart wristband
#smart device
#sports watch
#Outdoor watch
#Information push device
#fashion watch
#Smart watch 2019
#Men's watch
#New listing
#Fitness bracelet
#Fitness watch
#Men's watch"
1174633799,66393554,"Ulefone Power 5 13000mah 4G Smartphone 6.0 ""FHD mtk6763",0,Handphone & Aksesoris,0.0,,5073000.0,24,4.733333,975,"OS: Android 8.1 CPU:   MTK6763 64Bit Octa Core  
XUXIAN   
Resolution: 2160x1080 Pixels Display: 6.0 inch FHD+ 18:9 
XUXIAN   
RAM: 6GB Front camera: 8.0MP (Interpolated to 13.0MP)
XUXIAN   
ROM: 64GB (SD card Up to 256GB) Rear camera: 21.0MP+5.0MP
XUXIAN   
Battery: 13000mAh Slot: 2 x SIM slot(2 x Nano sim Card)
XUXIAN   
Accessroies:
1 x Type-C  Cable
1 x Charger  
1 x User Manual
1 x OTG cable  Gift*
1 x Protective film Gift*
1 x  Type-C  to Micro USB  adapter   Gift*
1 x Type C to 3.5mm headphone adapter  Gift*
1 x SIM Needle
Network:
2G: GSM 850/900/1800/1900MHz
3G: WCDMA 900/2100MHZ
4G: FDD-LTE 800/900/1800/2100/2600MHz    
 Basic Information

 Model

Ulefone Power 5

 Color  

Black

 Dimensions

169.4*80.2*15.8mm

 Weight

330g (with battery)

 OS

Android 8.1

 CPU

MT6763 Octa Core 64-bit 2.0GHz CPU

 SIM Card

Nano sim*1+Nano sim*1 / Nano sim*1+TF Card (when one SIM card is using 4G LTE, the other only for GSM. You can choose in settings which one for 4G.)

 Li-Polymer Battery

13000mAh

 Charger

5V, 5A

 

 Memory Capacity

 RAM

6GB

 ROM  

64GB (The actual available internal phone storage may differ depending on the software configuration of your phone. it's less than specification data. We can't accept dispute for ROM / RAM data difference.)

 Micro SD

Support(up to 256GB)

 

 Connectivity

 2G

GSM: 850/900/1800/1900 (B5/8/3/2)

 3G

WCDMA:2100/900(B1/8)  

 4G  

FDD-LTE: 2100/1800/2600/900/800(B1/3/7/8/20)

 Bluetooth

Bluetooth® 4.1

 WLAN

Yes

 FM Radio

Yes

 Positioning

GPS+GLONASS

 NFC

No

 Wireless Charging

Yes (10W wireless charge)

 Face ID

Yes

 OTG

Yes

 

 Screen

 Display

6.0 Inch 18:9

 Resolution

2160*1080 Pixels FHD+

 Multitouch

Yes

 

 Camera

 Front camera

8MP (Interpolated to 13MP)

 Rear camera  

21.0MP+5.0MP

 Photoflash  

Support

 

 Ports

 Type C

 

 Sensors  

 G-sensor、P-sensor、L-sensor、Gyro、Compass、Fingerprint sensor

 

 Language

 Indonesian, Malay, Catalan, Czech, Danish, German, Estonian, English, Spanish, Filipino, French, Croatian, Italian, Latvian, Lithuanian, Hungarian, Dutch, Norwegian, Polish, Portuguese, Romanian, Slovak, Finnish, Swedish, Vietnamese, Greek, Turkish, Bulgarian, Russian, Serb, Ukrainian, Armenian, Hebrew, Urdu, Arabic, Persian, Hindi, Bengali, Thai, Korean, Burmese, Japanese, Simplified Chinese, Traditional Chinese

 

Package Contents

1 x Cell phone

1 x Charger

1 x Type-C Cable

1 x Protective Film Gift*

1 x Type C to Micro USB adapter Gift*

1 x Type C to 3.5mm headphone adapter Gift*

1 x OTG Cable Gift*

1 x SIM Needle

1 x User Manual"
689284704,24538285,VKWORLD Mix Plus Smartphone Android 7.0 3G+32G Quad Core Dual Sim Fullscreen 5.5 Inci,,Handphone & Aksesoris,0.0,,2464908.0,17,4.538462,6,"Features: 
Bezel-less display                                        
5.5 inch on-cell;
Dual 2.5D glass;
Mirror glass;
13MP camera;
2850mAh battery;
3G RAM+32G ROM;
Android 7.0;
AAC speaker;
AAC ear piece
Beauty mode;
Back fingerprint scanner

Description:
5.5 inch on-cell display, can bring the most true-to-life colors, widest viewing angle and highest contrast.
Unlock your phone instantly. The rear fingerprint scanner on the back of vkworld Mix Plus is more convenient for most people. Just hold up the phpne and place your finger on the scanner, the phone will unlock instantly.
Long screen capture is a very useful function for all of us. You can capture a scrolling web page or app page.  There is no need to stick lots of screenshots together. And with our built-in screen recording, you can record every step you make on phone. It is super pratical when you want to share some instructions on the phone with others.

Specifications:
Plug Type: EU Standard
Color: Black, Blue
Package Size: 165x98x43mm
Phone Size: 143x74x7.9mm
Phone Weigh: 165g
Chipset: MT6737  Quad Core  1.3GHz
Frequency(MHz): GSM B2/3/5/8(1900/1800/850/900) &amp; WCDMA B1/5/8(2100/850/900) &amp; LTE  FDD  B1/3/7/8/20(2100/1800/2600/800/900)
Sim card : Support Dual sim dual standby, 1 micro SIM+1 mini SIM
OS: Android 7.0
GPS: GPS,  A-GPS 
OTA: Support   
FM Radio: Support
Bluetooth: BT4.0 
Speaker: AAC speaker
3G: WCDMA 3G, Support WIFI hotspot
4G: LTE  FDD  4G (Support 4G Indonesia)
EDGE: Support
GPRS: Support
EGSM: Support
WAP: Support
WI-FI: Wi-Fi 802.11 b/g/n,Support Hotspot
Main Display:  5.5"" HD 1280×720 on-cell
Main Camera:  13.0MP  
Sub Camera: 8.0MP
RAM: 3GB
ROM: 32GB
Available Memory: about 25GB
External Memory: Micro Secure Digital Memory Card (T-FLASH card), max32GB
Smart gestures: Contactless control. Contactless hands free mode
Wake Gesture: Double tap: light the screen, Start the APP by gesture
Capacity(mAh): 2850mAh
Talk Time: 11-13hour
Standby Time: 95hour
Charger: INPUT100-240V, OUTPUT: 5V-1A 
Connector: Micro USB 5Pin
Earphone jack: 3.5mm
Language  : English, Spanish, Portuguese, Italian, German,  French, Russian, Arabic, Malay, Thai, Greek, Ukrainian, Croatian, Czech, Simplified Chinese, Traditional Chinese etc.
Certification: CE

Package Included:
1 x Phone(with unremovable battery)
1 x Charger
1 x Data Cable(5 Pin)
1 x User Manual
1 x Warranty Card
1 x Box
1 x Screen Protector
1 x Silicon Case
1 x SIM Ejector"
7017008644,94522196,Inone Official Smartphone Benco V7 2GB RAM 16GB ROM 6.1 inch Full HD Display Notch,Lava,Handphone & Aksesoris,1299000.0,32%,1049000.0,47,4.947368,1048,"Lava Benco V7 by INONE
Garansi Resmi 1 Tahun

PROMO MARCH
Bundling Product With Powerbank 10.000mAh Fast Charging Hanya Rp. 949.000 save up to 150k


POWERFULL SPECIFICATION & AFFORDABLE PRICE
Display HD 6,1 inch With Notch Full HD Display

Spesifikasi:

CPU: MT6763 Hello P23 Octa-Core 2GHz
Display: 6.1 inches HD+ waterdrop display
RAM: 2 GB RAM+16 GB ROM
Battery: 4000 mAh
Kamera belakang: 8+5MP dual camera rear cameraKamera depan: 8MP
OS: Android 9 Pie
Network:4 G Lte , 2G: 900/1800MHz 3G: 900/2100MHz
Security: Face unlock"
7517948125,30843261,Vivo V19 - Arctic Blue [Ultra O Screen],Vivo,Handphone & Aksesoris,0.0,,4299000.0,0,0,159,"Dapatkan hadiah JBL  Go untuk 500 pembeli pertama pada masa pre-order (10 - 25 Maret 2020)
Pengiriman produk dimulai tanggal : 25 Maret 2020

Spesifikasi Dasar									
Prosesor : SDM 675 AIE							
RAM&ROM :  8GB+128GB
Baterai : 4500mAh 							
Warna : Arctic Blue							
Sistem Operasi : Funtouch OS 10 dan Android 10	

Bodi									
Dimensi	: 159.01×74.17×8.54mm							
Berat : 176g							
Fast Charging  : 9V/2A							
Material Bahan : Plastic		

Tampilan									
Ukuran Layar  : 6.44-inch dengan 91,38% rasio bodi-ke-layar							
Resolusi	: 2400×1080  (FHD+)							
Tipe Layar : Super AMOLED							
Layar Sentuh : Capacitive Screen (Multi Touch)

Jaringan									
Single SIM or Dual SIM/Standby Mode/SIM Slot									
2G GSM	: B2/3/5/8
3G WCDMA	: B1/5/8
CDMA	／
4G FDD_LTE	: B1/3/5/8
4G TDD_LTE	: B40
Tipe Jaringan : Dual Sim + 1 Micro SD atau 3 nano sim card (Dedicated)

Kamera									
Kamera	Kamera Depan : 32MP / Kamera Belakang: 48MP, 8MP, 2MP, 2MP							
Aperture	Kamera Depan : 32MP (F2.45 ) / Kamera Belakang: AI Rear Kamera 48MP (F1.8), Kamera Super Wide-Angle 8MP (F2.2),  Kamera Bokeh 2MP (F2.4) Kamera Super Macro 2MP (F2.4)							
Flash : Flash Kamera Belakang		

Feature Kamera : Kamera Depan: Super night selfie, Portrait light effects (Portrait bokeh included), AR stickers, Pose Master, Filters, AI Makeup, AI HDR, Burst, Gender detection, Take Photo, Video record and etc.
Kamera Belakang: Super night mode, Ultra Stable Video, Portrait bokeh, Portrait light effects, AR stickers, Pose Master, Filters , AI Makeup, Super EIS for videos, Super wide-angle (Photo+Video), Super macro, Portrait framing, AI HDR, Burst, SLO-MO, PRO Mode, Panorama, AI Scene Recognition, DOC, Take Photo, Video record and etc.	

Media									
Hi-Fi Chipset : Tidak Didukung							
Audio Playback : WAV，MP3，MP2，AMR-NB，AMR-WB，MIDI，Vorbis，APE，FLAC							
Video Playback : MP4，3GP，AVI，FLV，TS，MKV							
Video recording  : MP4							
Voice Recording : Didukung

Koneksi									
Wi-Fi : 2.4G+5G							
Bluetooth : Bluetooth 5.0							
USB : Type-C							
GPS : Didukung							
OTG : Didukung							
NFC : Tidak Didukung							
FM  : Tidak Didukung

Lokasi									
Lokasi : GPS，BeiDou, Galileo，GLONASS	

Sensors									
Accelerometer : Didukung							
Ambient light sensor : Didukung							
Proximity Sensor : Didukung							
E-compass : Didukung							
Fingerprint Sensor : Screen Touch ID							
Gyroscope : Didukung	

Di Dalam Kotak									
Earphone : Tersedia							
Dokumentasi : Tersedia							
Kabel USB Type C : Tersedia							
Pengisi Daya USB : Tersedia							
SIM Ejector  : Tersedia							
Case Pelindung : Tersedia							
Lapisan Pelindung Layar : Tersedia							
						
						
							
							
					
					

							
					
						
"
